no;spelling;meaning;level;category
727;true;참된/진짜의;Lv2;기타
728;try;노력/시도하다;Lv1;일반동사
729;tulip;튤립;Lv3;기타
730;turn;돌다;Lv2;일반동사
731;twice;두번;Lv3;시간
732;umbrella;우산;Lv4;옷_소지품
733;uncle;삼촌;Lv3;가족_사람
734;under;~아래에서;Lv3;핵심표현_문법
735;understand;이해하다;Lv4;일반동사
736;until;~까지;Lv3;핵심표현_문법
737;up;위에;Lv1;방향_위치
738;use;사용하다;Lv1;일반동사
739;usual;보통의;Lv3;시간
740;vacation;휴가;Lv4;취미_예술
741;vegetable;야채;Lv4;음식
742;very;대단히/몹시;Lv2;기타
743;video;비디오;Lv3;취미_예술
744;village;마을;Lv4;교통_장소
745;visit;방문하다;Lv3;일반동사
746;violin;바이올린;Lv4;취미_예술
747;wait;기다리다;Lv2;일반동사
748;wake;잠이깨다;Lv2;일반동사
749;walk;걷다;Lv2;일반동사
750;wall;벽;Lv2;집_가구
751;want;원하다;Lv2;일반동사
752;war;전쟁;Lv1;기타
753;warm;따뜻한;Lv2;일반형용사
754;wash;씻다;Lv2;일반동사
755;waste;낭비하다;Lv3;일반동사
756;watch;보다;Lv3;일반동사
757;water;물;Lv3;기타
758;way;길;Lv1;교통_장소
759;we;우리;Lv1;대명사
760;weak;약한;Lv2;일반형용사
761;wear;옷을입다;Lv2;일반동사
762;weather;날씨;Lv4;기타
763;week;한 주;Lv2;시간
764;welcome;환영하다;Lv4;일반동사
765;well;상당히;Lv2;기타
766;west;서쪽;Lv2;방향_위치
767;wet;젖은;Lv1;일반형용사
768;what;무엇(의문사);Lv2;핵심표현_문법
769;when;언제;Lv2;기타
770;where;어디(의문사);Lv3;핵심표현_문법
771;which;어느쪽(의문사);Lv3;핵심표현_문법
772;white;하얀색;Lv3;색깔
773;who;누구(의문사);Lv1;핵심표현_문법
774;why;왜(의문사);Lv1;핵심표현_문법
775;wide;넓은;Lv2;일반형용사
776;will;~할것이다;Lv2;핵심표현_문법
777;win;이기다;Lv1;일반동사
778;wind;바람;Lv2;자연_날씨
779;window;창문;Lv4;집_가구
780;wing;날개;Lv2;사물_도구
781;winter;겨울;Lv4;자연_날씨
782;with;~와함께;Lv2;핵심표현_문법
783;woman;여자;Lv3;가족_사람
784;wonder;놀라다;Lv4;일반동사
785;wood;나무;Lv2;자연_날씨
786;word;낱말/말;Lv3;기타
787;work;일;Lv3;기타
788;world;세상;Lv4;교통_장소
789;write;쓰다;Lv4;일반동사
790;wrong;나쁜;Lv4;일반형용사
791;yeah;예(찬성/긍정);Lv3;감탄사_인사
792;year;해/1년;Lv3;자연_날씨
793;yellow;노랑색;Lv4;색깔
794;yes;네(대답);Lv1;감탄사_인사
795;yesterday;어제;Lv4;감탄사_인사
796;yet;아직;Lv1;감탄사_인사
797;you;당신;Lv1;대명사
798;young;젊은;Lv4;일반형용사
799;zero;영(0);Lv3;숫자_수량
800;zoo;동물원;Lv1;동물
